mql_id,origin,seller_id,won_date,gmv_90d_brl,order_items_90d,orders_90d,first_order,observed_sale_90d,days_first_sale
5420aad7fec3549a85876ba1c529bd84,organic_search,2c43fb513632d29b3b58df74816f1b06,2018-02-26 19:58:54,0.00000,0.00000,0.00000,,False,
a555fb36b9368110ede0f043dfc3b9a0,referral,bbb7d7893a450660432ea6652310ebb7,2018-05-08 20:17:59,0.00000,0.00000,0.00000,,False,
f5fee8f7da74f4887f5bcae2bafb6dd6,paid_search,21e1781e36faf92725dde4730a88ca0f,2018-01-17 13:51:03,0.00000,0.00000,0.00000,,False,
b94fba7670eeb44dce2a0d8eb790e9f5,organic_search,1c742ac33582852aaf3bcfbf5893abcf,2018-02-07 18:04:05,0.00000,0.00000,0.00000,,False,
c3e30ed7ac989117c7e1e719b4ac128f,direct_traffic,92d7568ad0c5c76fd7d341b2d46f24d6,2018-04-16 18:18:22,0.00000,0.00000,0.00000,,False,
b02c89251106e1fdd9d92744be9f94f2,unknown,44ed138eca6214d572ce1d813fb0049b,2018-04-17 17:01:57,0.00000,0.00000,0.00000,,False,
a90a37898cc5f2718385a2fb981caaff,social,0b28859cd04d23edefee9c591fb03cd8,2018-05-14 18:37:15,0.00000,0.00000,0.00000,,False,
4e4e70d504b4c0006c8287dedc99d0fc,social,f7a0d94e966c5665355a182d5b199fcf,2018-02-28 19:42:14,0.00000,0.00000,0.00000,,False,
408a9c4a79800232ac656249af3162eb,paid_search,b566ab0ef88016e00422755e305103c6,2018-02-23 13:54:40,938.00000,3.00000,3.00000,2018-03-11 10:26:01,True,15.85510
c556184b3fe2087834850b68fa435cee,direct_traffic,2d2322d842118867781fc737e96d59a1,2018-05-22 13:24:08,174.20000,9.00000,7.00000,2018-06-08 10:35:03,True,16.88258
ab11f58a6bf7036a656364b0ba68fb74,paid_search,9e7c5f4d7770eab65738cca38f9efccf,2018-04-10 03:00:00,99.90000,1.00000,1.00000,2018-06-01 12:50:14,True,52.40988
450b97a48568c3118ff397f73abe4e4a,referral,df91910b6a03bb2e3358fa6a35e32f6f,2018-04-10 19:21:54,511.80000,3.00000,3.00000,2018-06-24 09:54:00,True,74.60563
9878253904482726e741460a99adba86,organic_search,92d46311e4fa7583d14c351fdc881af6,2018-01-26 17:23:46,0.00000,0.00000,0.00000,,False,
ed3d878bf23177e7075ce07578841047,organic_search,249f0e9905a6e06ad6c6bea7547ab9f6,2018-05-11 19:03:19,347.95000,3.00000,3.00000,2018-06-25 01:10:48,True,44.25520
1f4e960dc47c49ab5c2a495e00055f64,organic_search,8c45b4bc4b5c1e2a4e789b4466a39b77,2018-02-07 13:57:02,0.00000,0.00000,0.00000,,False,
05d287893f5f083739da863da2c4b6f8,social,49f6ca9231352dedda1ad1176ce70531,2018-04-16 13:09:09,0.00000,0.00000,0.00000,,False,
0b97be8b4b408a3a0780a32e0a143a7f,unknown,7d13fca15225358621be4086e1eb0964,2018-02-08 17:20:14,74711.75000,380.00000,368.00000,2018-02-14 21:11:44,True,6.16076
2552a7b886c1710f36be92ac29b1362d,unknown,efa89b428cbc422ba9313b4fc6feafc7,2018-02-16 12:31:56,0.00000,0.00000,0.00000,,False,
59c0665c39a2bb9c8776d66f4e8b8f66,direct_traffic,cb3666965a560e723403683bd378a5f7,2018-02-22 12:40:15,0.00000,0.00000,0.00000,,False,
4151b0029636a1c55afcce9283ac7902,organic_search,e819bcfade7b5d88a27325eb6cfd62c5,2018-02-12 13:18:13,0.00000,0.00000,0.00000,,False,
fc4166d1b1e192f650ee2d807b54c943,social,70c27847eca8195c983ed7e798c56743,2018-02-08 20:57:44,2854.55000,19.00000,17.00000,2018-04-03 09:02:42,True,53.50345
85e43237b3fb87d881c757f44f1b0357,paid_search,556a6409838156ea299c9d1f9e2dde43,2018-04-06 20:52:54,898.00000,1.00000,1.00000,2018-06-19 10:11:16,True,73.55442
9ce2e101957dc53e3e89cc8e1599aa60,paid_search,a4fc6eadaff1576af888509a53420f6a,2018-04-13 12:27:48,100.86000,1.00000,1.00000,2018-05-22 18:15:54,True,39.24174
9a6b65aedf8177783035f3a53ca21ed1,organic_search,0975b0dd18febd1008391fa53dff0891,2018-04-18 18:02:08,0.00000,0.00000,0.00000,,False,
e428d5580f729d23e6070e43c492e424,unknown,8b181ee5518df84f18f4e1a43fe07923,2018-04-25 03:00:00,27.90000,1.00000,1.00000,2018-05-30 09:21:06,True,35.26465
1cbfa9c878ef8692c1ae21e4cfa11000,paid_search,90269579385b838ce9bd577dcec278a4,2018-05-30 14:43:50,0.00000,0.00000,0.00000,,False,
b055fc7de322786cd9ddc996cb6e72ff,organic_search,398cb257329ef7af7f1943a8974a3cbc,2018-03-06 12:25:29,0.00000,0.00000,0.00000,,False,
